ID,Year,Month,Day,Title,URL
3106244,1403,03,29,سلامی شهید امیرعبداللهیان دیپلماسی مقاومت را به خوبی می شناخت,https://www.tasnimnews.com/fa/news/1403/03/29/3106244/سلامی-شهید-امیرعبداللهیان-دیپلماسی-مقاومت-را-به-خوبی-می-شناخت
3105279,1403,03,27,30نفر ازعوامل عملیات تروریستی درسیستان وبلوچستان خارجی بودند,https://www.tasnimnews.com/fa/news/1403/03/27/3105279/30نفر-ازعوامل-عملیات-تروریستی-درسیستان-وبلوچستان-خارجی-بودند
3105048,1403,03,27,پیام سرلشکر باقری به مناسبت سالروز تاسیس جهاد سازندگی,https://www.tasnimnews.com/fa/news/1403/03/27/3105048/پیام-سرلشکر-باقری-به-مناسبت-سالروز-تاسیس-جهاد-سازندگی
3215772,1403,09,18,تسلیت سرلشکر سلامی به سردار کوثری,https://www.tasnimnews.com/fa/news/1403/09/18/3215772/تسلیت-سرلشکر-سلامی-به-سردار-کوثری
3214914,1403,09,17,دانشجویان با فناوری های نوظهور مبدأ تحولات وزارت دفاع باشند,https://www.tasnimnews.com/fa/news/1403/09/17/3214914/دانشجویان-با-فناوری-های-نوظهور-مبدأ-تحولات-وزارت-دفاع-باشند
3214634,1403,09,17,تسلیت فرمانده نیروی هوایی ارتش درپی شهادت خلبانان وزارت دفاع,https://www.tasnimnews.com/fa/news/1403/09/17/3214634/تسلیت-فرمانده-نیروی-هوایی-ارتش-درپی-شهادت-خلبانان-وزارت-دفاع
3214542,1403,09,17,شیء نورانی در آسمان مربوط به تست میدانی سپاه بود,https://www.tasnimnews.com/fa/news/1403/09/17/3214542/شیء-نورانی-در-آسمان-مربوط-به-تست-میدانی-سپاه-بود
3214102,1403,09,16,ماهواره فخر یک ارتش به فضا پرتاب شد,https://www.tasnimnews.com/fa/news/1403/09/16/3214102/ماهواره-فخر-یک-ارتش-به-فضا-پرتاب-شد
3212806,1403,09,13,به سمت نیروی هوایی تراز انقلاب اسلامی حرکت می کنیم,https://www.tasnimnews.com/fa/news/1403/09/13/3212806/به-سمت-نیروی-هوایی-تراز-انقلاب-اسلامی-حرکت-می-کنیم
3212781,1403,09,13,گفتگوی سردارباقری با وزیردفاع روسیه و روسای ارتش عراق وسوریه,https://www.tasnimnews.com/fa/news/1403/09/13/3212781/گفتگوی-سردارباقری-با-وزیردفاع-روسیه-و-روسای-ارتش-عراق-وسوریه
3212377,1403,09,13,نائینی دشمن به دنبال بی ثبات سازی محور مقاومت و ایران است,https://www.tasnimnews.com/fa/news/1403/09/13/3212377/نائینی-دشمن-به-دنبال-بی-ثبات-سازی-محور-مقاومت-و-ایران-است
